id_risp,id_aisp,id_cisp,id_municipio,unidade_territorial,regiao
4,25,132,3300258,Arraial do Cabo,Baixadas Litorâneas
4,25,124,3305505,Saquarema; Bacaxá e Sampaio Correia,Baixadas Litorâneas
4,25,118,3300209,Araruama; Morro Grande e São Vicente de Paula,Baixadas Litorâneas
4,25,126,3300704,Cabo Frio e Tamoios,Baixadas Litorâneas
4,25,129,3301876,Iguaba Grande,Baixadas Litorâneas
4,35,71,3301900,Itaboraí; Cabuçú; Itambí; Porto das Caixas e Sambaetiba,Metropolitana
4,35,159,3300803,Cachoeiras de Macacu; Japuíba e Subaio,Metropolitana
4,35,119,3304300,Rio Bonito e Boa Esperança,Metropolitana
4,35,70,3305752,Tanguá,Metropolitana
4,35,120,3305604,Silva Jardim; Aldeia Velha; Correntezas e Gaviões,Baixadas Litorâneas
4,7,74,3304904,Monjolo,Metropolitana
4,7,72,3304904,São Gonçalo,Metropolitana
4,7,73,3304904,Neves,Metropolitana
4,7,75,3304904,Ipiiba e Sete Pontes,Metropolitana
5,10,96,3302908,Miguel Pereira; Governador Portela e Conrado,Centro-Sul Fluminense
5,10,97,3302809,Mendes,Centro-Sul Fluminense
5,10,92,3304508,Rio das Flores; Manuel Duarte; Abarracamento e Taboas,Médio Paraíba
5,10,91,3306107,Valença; Barão de Juparana; Conservatória; Parapeúna; Pentagna e Santa Isabel do Rio Preto,Médio Paraíba
5,10,94,3304003,Piraí; Arrozal; Monumento e Santanésia,Médio Paraíba
5,10,88,3300308,Barra do Piraí; Dorandia; Ipiabas; São José do Turvo e Vargem Alegre,Médio Paraíba
5,10,98,3301801,Engenheiro Paulo de Frontin e Sacra Família do Tinguá,Centro-Sul Fluminense
5,10,96,3303856,Paty do Alferes e Avelar,Centro-Sul Fluminense
5,10,95,3306206,Vassouras; Andrade Pinto; São Sebastião dos Ferreiros e Sebastião de Lacerda,Centro-Sul Fluminense
5,28,93,3306305,Volta Redonda,Médio Paraíba
5,28,168,3304409,Rio Claro; Getulândia; Lídice; Passa Três e São João Marcos,Médio Paraíba
